Timestamp,Password Length,Strength,Entropy (bits)
2025-10-05 21:16:50,7,Password is WEAK,32.9
2025-10-05 21:24:37,7,Password is WEAK,32.9
2025-10-05 21:36:44,7,Password is WEAK,32.9
2025-10-05 21:37:30,7,Password is WEAK,32.9
2025-10-05 21:50:47,20,Password is STRONG,131.09
2025-10-07 17:22:15,7,Password is WEAK,32.9
2025-10-07 17:37:57,10,Password is MODERATE,51.7
2025-10-07 17:38:48,7,Password is WEAK,32.9
2025-10-07 17:39:48,5,Password is WEAK,23.5
2025-10-07 17:41:01,7,Password is WEAK,32.9
2025-10-08 02:56:50,15,Password is MODERATE,89.31
2025-10-13 18:29:10,10,Password is MODERATE,58.58
2025-10-13 18:34:03,2,Password is WEAK,9.4
2025-10-13 18:35:18,4,Password is WEAK,18.8
2025-11-02 11:39:01,8,Password is MODERATE,41.36
2025-11-02 11:41:50,8,Password is MODERATE,41.36
2025-11-02 12:00:38,51,Password is STRONG,334.28
